"","species","run","brood_year","release_location_code","hatchery_location_code","first_release_date_month","jday","avg_weight","release_stage_assigned","recovery_location_code","fishery","fishery_name","fishery_short_name","event_released","number_cwt_estimated","fate","sar","tags_lost"
"90","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","3F42001^^260002^H02","50","Hatchery","Hatchery",147246,5.08,"hatchery",3.45000882876275e-05,147240.92
"91","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,60,"smolt","3F42001^^260002^H02","50","Hatchery","Hatchery",34049,1,"hatchery",2.93694381626479e-05,34048
"92","1","1",2015,"3F42001^^270168^R01","3F42001^^270430^H",10,279,30,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",94075,3.05,"hatchery",3.24209407387723e-05,94071.95
"93","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",2,34,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",94395,3.02,"hatchery",3.19932199798718e-05,94391.98
"94","1","1",2018,"3F42001^^270168^R01","3F42001^^270168^H",2,42,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",35655,2.01,"hatchery",5.63735801430374e-05,35652.99
"95","1","1",2014,"3F42001^^270168^R01","3F42001^^270168^H",8,215,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",145964,2,"hatchery",1.37020087144775e-05,145962
"96","1","1",2013,"3F42001^^270168^R01","3F42001^^270168^H",10,274,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",51109,2.01,"hatchery",3.9327711361991e-05,51106.99
"97","1","1",2015,"3F42001^^270168^R01","3F42001^^270168^H",10,275,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",61322,1.03,"hatchery",1.67965819771045e-05,61320.97
"98","1","1",2016,"3F42001^^270168^R01","3F42001^^270168^H",10,278,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",294492,21.24,"hatchery",7.21242003178355e-05,294470.76
"99","1","1",2021,"3F42001^^270168^R01","3F42001^^270168^H",10,285,40,"smolt","3F42001^^270002^H","50","Hatchery","Hatchery",36311,1,"hatchery",2.75398639530721e-05,36310
