"species","run","location_code","loc_col","name","region"
"3","3","3F10805^^190148^H","hatchery_location_code","HOKO FALLS HATCHERY",6
"2","3","3F10805^^190148^H","hatchery_location_code","HOKO FALLS HATCHERY",6
"1","3","3F10806^^180018^H","hatchery_location_code","DUNGENESS HATCHERY",6
"1","1","3F10806^^180018^H","hatchery_location_code","DUNGENESS HATCHERY",6
"3","4","3F10806^^180018^H","hatchery_location_code","DUNGENESS HATCHERY",6
"3","4","3F10806^^180028^H","hatchery_location_code","HURD CR HATCHERY",6
"1","1","3F10806^^180028^H","hatchery_location_code","HURD CR HATCHERY",6
"1","3","3F10806^^180028^H","hatchery_location_code","HURD CR HATCHERY",6
"1","3","3F10806^^180185^H","hatchery_location_code","MORSE CREEK HATCHERY",6
"1","3","3F10806^^180272^H","hatchery_location_code","ELWHA HATCHERY",6
"3","4","3F10806^^180272^H","hatchery_location_code","ELWHA HATCHERY",6
"1","1","3F10806^^180272^H","hatchery_location_code","ELWHA HATCHERY",6
"1","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"2","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"3","4","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"5","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"2","4","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"3","3","3F10806^^180274^H","hatchery_location_code","LOWER ELWHA HATCHERY",6
"1","3","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"3","4","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"1","1","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
"5","3","3F21702^^210398^H","hatchery_location_code","QUINAULT LK HATCHERY",6
